subject,predicate,object,source,validity
Cordelia Scaife May,child,Sarah Mellon,wikidata,always true
Robert Palmer,band member,The Power Station,wikidata,always true
Joseph,child,Joseph Ellicott,wikidata,always true
Michael Poulsen,band member,Dominus,wikidata,always true
diazepam,hypernym,drug,wordnet/conceptnet,always true
ape,hypernym,vertebrate,wordnet/conceptnet,always true
shawl,meronym,collar,wordnet/conceptnet,always true
"River, el más grande siempre",hypernym,movie,wikidata,always true
Simon Amstell: Set Free,hypernym,movie,wikidata,always true
Naomi,child,Tabitha King,wikidata,always true
mouse,meronym,skull,wordnet/conceptnet,always true
Sorel Carradine,child,Sandra Will,wikidata,always true
Frank Capra III,child,"Frank Capra, Jr.",wikidata,always true
Cimarex Energy,hypernym,company,wikidata,always true
Vice Squad,hypernym,band,wikidata,always true
Mike Ragan,hypernym,person,wikidata,always true
gecko,meronym,chest,wordnet/conceptnet,always true
scorpion,meronym,ear,wordnet/conceptnet,always true
Joshua Logan,spouse,Nedda Harrigan,wikidata,always true
2015,release year,Hunter's Prayer,wikidata,always true
cat,/r/CapableOf,sleep on windowsill,conceptnet,always true
elephant,meronym,snout,wordnet/conceptnet,always true
Paatos,hypernym,band,wikidata,always true
rattlesnake,meronym,mouth,wordnet/conceptnet,always true
camel,meronym,chin,wordnet/conceptnet,always true
meal,/r/IsA,nutriment,conceptnet,always true
Harry Hasso,spouse,Viveca Lindfors,wikidata,always true
Jim Lovell,hypernym,person,wikidata,always true
Richard J. Tobin,CEO,Dover,wikidata,always true
reptile,meronym,brain,wordnet/conceptnet,always true
The Chariot,hypernym,band,wikidata,always true
Teri Gender Bender,band member,Bosnian Rainbows,wikidata,always true
Lois Lenski,spouse,Arthur Covey,wikidata,always true
Annabelle Hooper and the Ghosts of Nantucket,hypernym,movie,wikidata,always true
Dean Wareham,band member,Luna,wikidata,always true
Alma Mahler,hypernym,person,wikidata,always true
postman,hypernym,individual,wordnet/conceptnet,always true
alsatian,hypernym,dog,wordnet/conceptnet,always true
Birch Bayh,hypernym,person,wikidata,always true
fox,meronym,brow,wordnet/conceptnet,always true
piglet,meronym,organelle,wordnet/conceptnet,always true
Eli Lilly,hypernym,company,wikidata,always true
gazelle,meronym,cheek,wordnet/conceptnet,always true
bungalow,hypernym,building,wordnet/conceptnet,always true
Glen Phillips,band member,Toad the Wet Sprocket,wikidata,always true
wave,/r/IsA,motion,conceptnet,always true
wren,meronym,brain,wordnet/conceptnet,always true
fox,meronym,chest,wordnet/conceptnet,always true
Quad/Graphics,hypernym,company,wikidata,always true
marigold,meronym,sepal,wordnet/conceptnet,always true
dumper,meronym,brake,wordnet/conceptnet,always true
Carrie Nye,spouse,Dick Cavett,wikidata,always true
Kai Po Che!,hypernym,movie,wikidata,always true
goldfish,meronym,head,wordnet/conceptnet,always true
Pamela Harriman,spouse,Leland Hayward,wikidata,always true
zebra,hypernym,animal,wordnet/conceptnet,always true
Scott Zabielski,director,Jim Jefferies: This Is Me Now,wikidata,always true
mole,meronym,tail,wordnet/conceptnet,always true
Harman,child,Margaret Agnew Blennerhassett,wikidata,always true
Bennetta Bullock,spouse,Walter Washington,wikidata,always true
holly,meronym,trunk,wordnet/conceptnet,always true
Shannon,spouse,Gibbs,wikidata,always true
2019,release year,Oh! Baby (Malayalam),wikidata,always true
bluebottle,meronym,stigma,wordnet/conceptnet,always true
grasshopper,meronym,carapace,wordnet/conceptnet,always true
Shontell McClain,hypernym,person,wikidata,always true
Cincinnati,headquarter,Convergys,wikidata,always true
John H. Hammergren,CEO,McKesson,wikidata,always true
"Ivana ""Ivy"" Vujic",band member,Kittie,wikidata,always true
Robert DeLeo,band member,Army of Anyone,wikidata,always true
octopus,meronym,snout,wordnet/conceptnet,always true
date,meronym,morning,wordnet/conceptnet,always true
Tuomo Latvala,band member,Torture Killer,wikidata,always true
spacecraft,hypernym,craft,wordnet/conceptnet,always true
Phil Sumner,band member,British Sea Power,wikidata,always true
Jeffrey S. Lorberbaum,CEO,Mohawk Industries,wikidata,always true
knife,/r/CapableOf,spread butter,conceptnet,always true
truck,meronym,brake,wordnet/conceptnet,always true
Richard Young,hypernym,person,wikidata,always true
Babble,hypernym,band,wikidata,always true
Waters,hypernym,company,wikidata,always true
newt,meronym,chin,wordnet/conceptnet,always true
designer,hypernym,expert,wordnet/conceptnet,always true
Golden Smog,hypernym,band,wikidata,always true
borax,hypernym,mineral,wordnet/conceptnet,always true
Josh Brown,band member,Day of Fire,wikidata,always true
Paul C. Varga,CEO,Brown-Forman,wikidata,always true
cherry,hypernym,food,wordnet/conceptnet,always true
Wendell Zitelman,child,Thomas Hanna,wikidata,always true
Fabrizio Freda,CEO,Estee Lauder,wikidata,always true
prey,meronym,eyelid,wordnet/conceptnet,always true
James Taylor,hypernym,person,wikidata,always true
Ori Kaplan,band member,Balkan Beat Box,wikidata,always true
Santa Clara,headquarter,Intel,wikidata,always true
date,hypernym,day,wordnet/conceptnet,always true
puppy,meronym,eyelid,wordnet/conceptnet,always true
Neenah,headquarter,Bemis,wikidata,always true
Harold Schafer,hypernym,person,wikidata,always true
mammal,meronym,head,wordnet/conceptnet,always true
bat,meronym,eyelid,wordnet/conceptnet,always true
Theodore Roosevelt V,child,Theodore Roosevelt IV,wikidata,always true
person,/r/Desires,flat tummy,conceptnet,always true
Schneider National,hypernym,company,wikidata,always true
Richard Rainwater,spouse,Darla Moore,wikidata,always true
Richard,spouse,Doe Avedon,wikidata,always true
Karenna Gore Schiff,child,Al Gore,wikidata,always true
vertebrate,hypernym,animal,wordnet/conceptnet,always true
hind,hypernym,fish,wordnet/conceptnet,always true
kitten,hypernym,animal,wordnet/conceptnet,always true
Bo Burnham: what.,hypernym,movie,wikidata,always true
Houston,headquarter,Quanta Services,wikidata,always true
2018,release year,De Film van Dylan Haegens,wikidata,always true
resourcefulness,hypernym,quality,wordnet/conceptnet,always true
Tony Bray,band member,Venom Inc.,wikidata,always true
Helen Shipman,spouse,Edward Pawley,wikidata,always true
Saravana Rajendran,director,Mehandi Circus,wikidata,always true
Leslie Spit Treeo,hypernym,band,wikidata,always true
Mitch Harris,band member,Napalm Death,wikidata,always true
Mahonri Young,hypernym,person,wikidata,always true
Elinor Morgenthau,hypernym,person,wikidata,always true
farmhouse,meronym,shower,wordnet/conceptnet,always true
game,meronym,cell,wordnet/conceptnet,always true
crocodile,meronym,face,wordnet/conceptnet,always true
2014,release year,Convict,wikidata,always true
Cotton,child,Increase Mather,wikidata,always true
pellagra,hypernym,disease,wordnet/conceptnet,always true
daffodil,meronym,cell,wordnet/conceptnet,always true
Felipe Esparza: They're Not Going to Laugh at You,hypernym,movie,wikidata,always true
Marcus Mumford,band member,Mumford & Sons,wikidata,always true
Roy Marble,hypernym,person,wikidata,always true
Natalya Pivovarova,band member,Kolibri,wikidata,always true
Brandon,child,Bruce Lee,wikidata,always true
Marcus A. Lemonis,CEO,Camping World Holdings,wikidata,always true
money,/r/PartOf,money supply,conceptnet,always true
Kate Melville,director,Good Sam,wikidata,always true
Lamon V. Harkness,hypernym,person,wikidata,always true
Greenville,headquarter,ScanSource,wikidata,always true
Jimmy Bower,band member,Clearlight,wikidata,always true
Skiptrace,hypernym,movie,wikidata,always true
Neil A. Schrimsher,CEO,Applied Industrial Technologies,wikidata,always true
person,/r/Desires,own own business,conceptnet,always true
Tim Alexander,band member,A Perfect Circle,wikidata,always true
NYC,hypernym,band,wikidata,always true
Chavo Guerrero Sr.,child,Gory Guerrero,wikidata,always true
turtle,meronym,chest,wordnet/conceptnet,always true
vaginitis,hypernym,inflammation,wordnet/conceptnet,always true
Abhishek Sharma,director,Parmanu: The Story of Pokhran,wikidata,always true
Steve Swallow,spouse,Carla Bley,wikidata,always true
person,/r/Desires,adoration,conceptnet,always true
shyness,hypernym,feeling,wordnet/conceptnet,always true
Michael Lohan,hypernym,person,wikidata,always true
D.R. Horton,hypernym,company,wikidata,always true
Daniel,child,Jay Pritzker,wikidata,always true
snow,meronym,flake,wordnet/conceptnet,always true
Leslie Van,child,Richard Van Gelder,wikidata,always true
worm,meronym,nucleus,wordnet/conceptnet,always true
hog,meronym,skull,wordnet/conceptnet,always true
The Donnas,hypernym,band,wikidata,always true
John Orne,child,John Orne Green,wikidata,always true
Dina,spouse,Michael Lohan,wikidata,always true
Builders FirstSource,hypernym,company,wikidata,always true
Yui,band member,Flower Flower,wikidata,always true
The Signal,hypernym,movie,wikidata,always true
grass,hypernym,plant,wordnet/conceptnet,always true
Atlanta,headquarter,Delta Air Lines,wikidata,always true
blade,/r/PartOf,lawn mower,conceptnet,always true
Mads Matthiesen,director,The Model,wikidata,always true
Margaret Fulton,spouse,Robert Spencer,wikidata,always true
Andrey Makarevich,band member,Mashina Vremeni,wikidata,always true
Marcus G. Michael,CEO,SPX FLOW,wikidata,always true
mule,meronym,head,wordnet/conceptnet,always true
2013,release year,Man of Tai Chi,wikidata,always true
2012,release year,Kon-Tiki,wikidata,always true
2018,release year,Qismat,wikidata,always true
Irving,headquarter,Darling Ingredients,wikidata,always true
Johan Wohlert,band member,The Storm,wikidata,always true
Charles Chesnutt,hypernym,person,wikidata,always true
dog,/r/CapableOf,chasing ball,conceptnet,always true
pup,hypernym,animal,wordnet/conceptnet,always true
witness,hypernym,person,wordnet/conceptnet,always true
Dennis Cole,spouse,Jaclyn Smith,wikidata,always true
Springdale,headquarter,Tyson Foods,wikidata,always true
Kosovo,hypernym,country,wikidata,always true
robber,hypernym,individual,wordnet/conceptnet,always true
Nora Kaye,spouse,Herbert Ross,wikidata,always true
Kitty,child,Howard Hawks,wikidata,always true
The Aristocrats,hypernym,band,wikidata,always true
Janaan,hypernym,movie,wikidata,always true
The Roches,hypernym,band,wikidata,always true
Age of Silence,hypernym,band,wikidata,always true
Sergio Barrejón,director,Jefe,wikidata,always true
Garfunkel and Oates: Trying to be Special,hypernym,movie,wikidata,always true
Steve Hogarth,band member,Marillion,wikidata,always true
Winnie Johnson-Marquart,child,"Samuel Curtis Johnson, Jr.",wikidata,always true
Charles A.,spouse,Mary Ritter Beard,wikidata,always true
Musical Youth,hypernym,band,wikidata,always true
William Russell,hypernym,person,wikidata,always true
Sigrid Valdis,hypernym,person,wikidata,always true
dog,meronym,eyelid,wordnet/conceptnet,always true
Silent,hypernym,movie,wikidata,always true
emperor,meronym,face,wordnet/conceptnet,always true
Katt Williams: Kattpacalypse,hypernym,movie,wikidata,always true
Zapped,hypernym,movie,wikidata,always true
print,hypernym,fabric,wordnet/conceptnet,always true
butter,/r/CapableOf,spread at room temperature,conceptnet,always true
whale,meronym,brow,wordnet/conceptnet,always true
expression,hypernym,quality,wordnet/conceptnet,always true
Rockwell Automation,hypernym,company,wikidata,always true
gondolier,meronym,organelle,wordnet/conceptnet,always true
Robert Redford,hypernym,person,wikidata,always true
John Rodgers,child,Montgomery C. Meigs,wikidata,always true
Kaleidoscope,hypernym,movie,wikidata,always true
Regatta,hypernym,movie,wikidata,always true
J. Michael Lawrie,CEO,DXC Technology,wikidata,always true
baboon,meronym,head,wordnet/conceptnet,always true
Rik Emmett,band member,Triumph,wikidata,always true
Katherine Ryan: In Trouble,hypernym,movie,wikidata,always true
tooth,/r/PartOf,comb,conceptnet,always true
faith,hypernym,belief,wordnet/conceptnet,always true
dough,meronym,food,wordnet/conceptnet,always true
Sam Phillips,spouse,T-Bone Burnett,wikidata,always true
Spirit AeroSystems Holdings,hypernym,company,wikidata,always true
John George Washington,child,John Hancock,wikidata,always true
mule,hypernym,vertebrate,wordnet/conceptnet,always true
Anne Shippen,hypernym,person,wikidata,always true
Roy Estrada,band member,The Mothers of Invention,wikidata,always true
Ewing Township,headquarter,Church & Dwight,wikidata,always true
Memphis,headquarter,FedEx,wikidata,always true
person,/r/Desires,sing,conceptnet,always true
fear,/r/IsA,emotion,conceptnet,always true
eagle,meronym,skull,wordnet/conceptnet,always true
Martin Scorsese,director,Raging Bull,wikidata,always true
St Paul,headquarter,Patterson,wikidata,always true
Ford Beebe,hypernym,person,wikidata,always true
Nights in Rodanthe,hypernym,movie,wikidata,always true
Robin Morgan,hypernym,person,wikidata,always true
Guy Ecker,spouse,Nia Peeples,wikidata,always true
Jimmy Carl Black,band member,The Mothers of Invention,wikidata,always true
The Little Mermaid,hypernym,movie,wikidata,always true
Lena Chase,spouse,Bill Robinson,wikidata,always true
John Armstrong Chaloner,spouse,Amélie Rives Troubetzkoy,wikidata,always true
The Crust Brothers,hypernym,band,wikidata,always true
trouser,hypernym,garment,wordnet/conceptnet,always true
poodle,hypernym,dog,wordnet/conceptnet,always true
Jace Anderson,hypernym,person,wikidata,always true
The Tabs Ug,hypernym,band,wikidata,always true
Addis Ababa,capital,Ethiopia,wikidata,always true
Tonmi Lillman,band member,To/Die/For,wikidata,always true
Sandra Casber Wise,hypernym,person,wikidata,always true
coat,meronym,skirt,wordnet/conceptnet,always true
MasTec,hypernym,company,wikidata,always true
bungalow,meronym,pane,wordnet/conceptnet,always true
Anthony J. Moraco,CEO,Science Applications International,wikidata,always true
2016,release year,Hide and Seek,wikidata,always true
fence,/r/PartOf,fence line,conceptnet,always true
James Frederick Joy,hypernym,person,wikidata,always true
Margaret Wycherly,spouse,Bayard Veiller,wikidata,always true
Camarón: The Film,hypernym,movie,wikidata,always true
chimp,meronym,lip,wordnet/conceptnet,always true
Ted Leo,band member,The Both,wikidata,always true
Biogen,hypernym,company,wikidata,always true
Abhishek Chaubey,director,Udta Punjab,wikidata,always true
Francis L. Kellogg,spouse,Mercedes Bass,wikidata,always true
duck,meronym,skull,wordnet/conceptnet,always true
music,/r/CapableOf,express feelings,conceptnet,always true
Janet Sheen,hypernym,person,wikidata,always true
sunhat,hypernym,hat,wordnet/conceptnet,always true
George,child,James Gould,wikidata,always true
goose,meronym,skull,wordnet/conceptnet,always true
2016,release year,American Honey,wikidata,always true
2019,release year,Rattlesnake,wikidata,always true
Bathsheba,child,Allen Grossman,wikidata,always true
cat,/r/Antonym,dog,conceptnet,always true
scavenger,meronym,chin,wordnet/conceptnet,always true
Lucid Dream,hypernym,movie,wikidata,always true
Toni Rembe,hypernym,person,wikidata,always true
Boulder,headquarter,Zayo Group Holdings,wikidata,always true
John Davenport Seymour,spouse,Abby Lewis,wikidata,always true
pod,hypernym,fruit,wordnet/conceptnet,always true
Noble Energy,hypernym,company,wikidata,always true
Crown Castle International,hypernym,company,wikidata,always true
hyena,meronym,pad,wordnet/conceptnet,always true
Mark,child,Richard D. Obenshain,wikidata,always true
Bea Arthur,hypernym,person,wikidata,always true
Workday,hypernym,company,wikidata,always true
sardine,hypernym,fish,wordnet/conceptnet,always true
J. Stuart Blackton,hypernym,person,wikidata,always true
